Manf Part #,Quantity,Reference,Description
HKLPM01,3,U4,
10018784-10210TLF,3,J4,
1053141108,6,"J5,J3",
VP3225K401R275,9,"RV2,RV1,RV3",
1759059,3,J1,
CRCW1206220KFKEA,36,"R5,R12,R15,R22,R6,R13,R16,R23,R7,R14,R17,R24",
ROE-0505S,3,U5,
CRG0603F1K0,12,"R25,R26,R27,R33",
0ZRE0012FF1C,3,F1,
CC0603KRX7R9BB333,9,"C3,C1,C2",
CPF0603B5R76E1,48,"R1,R2,R8,R9,R18,R19,R28,R29,R3,R4,R10,R11,R20,R21,R30,R31",
AIML-1206-R27K-T,3,L1,
AP7365-33YG-13,6,"U3,U2",
0603ZD105KAT2A,18,"C5,C8,C6,C7,C4,C9",
MCP73831T-3ACI/OT,3,U1,
BM02B-SRSS-TB(LFSN),3,J2,
RT0603DRE072KL,3,R32,
LTST-C190KRKT,3,D2,
PMEG1020EA,3,D1,
X,9,"SYM1,G1,LOGO_OSHW1",
